Shortage,Supply,Population,Infrastructure,Model
413440,High,High,WWTP,csiro-mk3-6-0.1.rcp60
470870,Low,High,WWTP,csiro-mk3-6-0.1.rcp61
261560,High,Low,WWTP,csiro-mk3-6-0.1.rcp62
300100,Low,Low,WWTP,csiro-mk3-6-0.1.rcp63
421290,High,High,WWTP,csiro-mk3-6-0.1.rcp85
448990,Low,High,WWTP,csiro-mk3-6-0.1.rcp86
258870,High,Low,WWTP,csiro-mk3-6-0.1.rcp87
318570,Low,Low,WWTP,csiro-mk3-6-0.1.rcp88
421120,High,High,WWTP,gfdl-cm3.1.rcp26
447330,Low,High,WWTP,gfdl-cm3.1.rcp27
263500,High,Low,WWTP,gfdl-cm3.1.rcp28
314060,Low,Low,WWTP,gfdl-cm3.1.rcp29
395880,High,High,WWTP,gfdl-cm3.1.rcp45
437740,Low,High,WWTP,gfdl-cm3.1.rcp46
241570,High,Low,WWTP,gfdl-cm3.1.rcp47
313950,Low,Low,WWTP,gfdl-cm3.1.rcp48
409500,High,High,WWTP,gfdl-cm3.1.rcp60
443110,Low,High,WWTP,gfdl-cm3.1.rcp61
309730,High,Low,WWTP,gfdl-cm3.1.rcp62
296250,Low,Low,WWTP,gfdl-cm3.1.rcp63
430010,High,High,WWTP,gfdl-cm3.1.rcp85
458970,Low,High,WWTP,gfdl-cm3.1.rcp86
245460,High,Low,WWTP,gfdl-cm3.1.rcp87
245680,Low,Low,WWTP,gfdl-cm3.1.rcp88
419920,High,High,WWTP,gfdl-esm2m.1.rcp26
422730,Low,High,WWTP,gfdl-esm2m.1.rcp27
260450,High,Low,WWTP,gfdl-esm2m.1.rcp28
268920,Low,Low,WWTP,gfdl-esm2m.1.rcp29
394480,High,High,WWTP,gfdl-esm2m.1.rcp45
448120,Low,High,WWTP,gfdl-esm2m.1.rcp46
303690,High,Low,WWTP,gfdl-esm2m.1.rcp47
311110,Low,Low,WWTP,gfdl-esm2m.1.rcp48
419260,High,High,WWTP,gfdl-esm2m.1.rcp60
439150,Low,High,WWTP,gfdl-esm2m.1.rcp61
258520,High,Low,WWTP,gfdl-esm2m.1.rcp62
284770,Low,Low,WWTP,gfdl-esm2m.1.rcp63
412520,High,High,WWTP,gfdl-esm2m.1.rcp85
465170,Low,High,WWTP,gfdl-esm2m.1.rcp86
246160,High,Low,WWTP,gfdl-esm2m.1.rcp87
263040,Low,Low,WWTP,gfdl-esm2m.1.rcp88
393480,High,High,WWTP,hadgem2-es.1.rcp26
452390,Low,High,WWTP,hadgem2-es.1.rcp27
264970,High,Low,WWTP,hadgem2-es.1.rcp28
269330,Low,Low,WWTP,hadgem2-es.1.rcp29
398600,High,High,WWTP,hadgem2-es.1.rcp45
426480,Low,High,WWTP,hadgem2-es.1.rcp46
256790,High,Low,WWTP,hadgem2-es.1.rcp47
265830,Low,Low,WWTP,hadgem2-es.1.rcp48
421960,High,High,WWTP,hadgem2-es.1.rcp60
438920,Low,High,WWTP,hadgem2-es.1.rcp61
256790,High,Low,WWTP,hadgem2-es.1.rcp62
258710,Low,Low,WWTP,hadgem2-es.1.rcp63
414020,High,High,WWTP,hadgem2-es.1.rcp85
414580,Low,High,WWTP,hadgem2-es.1.rcp86
264270,High,Low,WWTP,hadgem2-es.1.rcp87
273860,Low,Low,WWTP,hadgem2-es.1.rcp88
437150,High,High,WWTP,miroc-esm-chem.1.rcp26
486840,Low,High,WWTP,miroc-esm-chem.1.rcp27
267710,High,Low,WWTP,miroc-esm-chem.1.rcp28
296130,Low,Low,WWTP,miroc-esm-chem.1.rcp29
413820,High,High,WWTP,miroc-esm-chem.1.rcp45
432470,Low,High,WWTP,miroc-esm-chem.1.rcp46
269360,High,Low,WWTP,miroc-esm-chem.1.rcp47
276330,Low,Low,WWTP,miroc-esm-chem.1.rcp48
422290,High,High,WWTP,miroc-esm-chem.1.rcp60
485830,Low,High,WWTP,miroc-esm-chem.1.rcp61
257140,High,Low,WWTP,miroc-esm-chem.1.rcp62
267820,Low,Low,WWTP,miroc-esm-chem.1.rcp63
411020,High,High,WWTP,miroc-esm-chem.1.rcp85
408180,Low,High,WWTP,miroc-esm-chem.1.rcp86
248120,High,Low,WWTP,miroc-esm-chem.1.rcp87
271850,Low,Low,WWTP,miroc-esm-chem.1.rcp88
434430,High,High,WWTP,miroc5.1.rcp26
428950,Low,High,WWTP,miroc5.1.rcp27
266120,High,Low,WWTP,miroc5.1.rcp28
261720,Low,Low,WWTP,miroc5.1.rcp29
385250,High,High,WWTP,miroc5.1.rcp45
425210,Low,High,WWTP,miroc5.1.rcp46
249670,High,Low,WWTP,miroc5.1.rcp47
242070,Low,Low,WWTP,miroc5.1.rcp48
364480,High,High,WWTP,miroc5.1.rcp60
477580,Low,High,WWTP,miroc5.1.rcp61
259270,High,Low,WWTP,miroc5.1.rcp62
288420,Low,Low,WWTP,miroc5.1.rcp63
356530,High,High,WWTP,miroc5.1.rcp85
430250,Low,High,WWTP,miroc5.1.rcp86
239260,High,Low,WWTP,miroc5.1.rcp87
245680,Low,Low,WWTP,miroc5.1.rcp88
436810,High,High,IPR,csiro-mk3-6-0.1.rcp26
443190,Low,High,IPR,csiro-mk3-6-0.1.rcp27
256710,High,Low,IPR,csiro-mk3-6-0.1.rcp28
243180,Low,Low,IPR,csiro-mk3-6-0.1.rcp29
400950,High,High,IPR,csiro-mk3-6-0.1.rcp45
408000,Low,High,IPR,csiro-mk3-6-0.1.rcp46
261180,High,Low,IPR,csiro-mk3-6-0.1.rcp47
259590,Low,Low,IPR,csiro-mk3-6-0.1.rcp48
452550,High,High,IPR,csiro-mk3-6-0.1.rcp60
458710,Low,High,IPR,csiro-mk3-6-0.1.rcp61
249030,High,Low,IPR,csiro-mk3-6-0.1.rcp62
259220,Low,Low,IPR,csiro-mk3-6-0.1.rcp63
404340,High,High,IPR,csiro-mk3-6-0.1.rcp85
399890,Low,High,IPR,csiro-mk3-6-0.1.rcp86
242660,High,Low,IPR,csiro-mk3-6-0.1.rcp87
248580,Low,Low,IPR,csiro-mk3-6-0.1.rcp88
