Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
313770,,0.023546,0.01377,0.021684,High,High,None,miroc.esm.chem.1.rcp85
321330,,0.034603,0.066886,0.038824,Low,High,None,miroc.esm.chem.1.rcp85
215790,,0,0.0024313,0.00070901,High,Low,None,miroc.esm.chem.1.rcp85
210790,,0,0.0026321,0.00097342,Low,Low,None,miroc.esm.chem.1.rcp85
298060,,0.020413,0.01124,0.018385,High,High,None,miroc.esm.chem.1.rcp60
318330,,0.031338,0.031268,0.032689,Low,High,None,miroc.esm.chem.1.rcp60
210420,,0,0.0023825,0.00065118,High,Low,None,miroc.esm.chem.1.rcp60
219260,,0,0.0025762,0.00089562,Low,Low,None,miroc.esm.chem.1.rcp60
284900,,0.016986,0.0093595,0.015348,High,High,None,miroc.esm.chem.1.rcp45
284070,,0.028066,0.020388,0.027513,Low,High,None,miroc.esm.chem.1.rcp45
202900,,0,0.0023094,0.00056942,High,Low,None,miroc.esm.chem.1.rcp45
198100,,0,0.0024917,0.00078415,Low,Low,None,miroc.esm.chem.1.rcp45
289060,,0.013365,0.0079536,0.012683,High,High,None,miroc.esm.chem.1.rcp26
301130,,0.024521,0.014807,0.022827,Low,High,None,miroc.esm.chem.1.rcp26
196950,,0,0.0022381,0.00049544,High,Low,None,miroc.esm.chem.1.rcp26
207700,,0,0.0024085,0.00068177,Low,Low,None,miroc.esm.chem.1.rcp26
286720,,0.016298,0.0090553,0.014802,High,High,None,miroc5.1.rcp85
292740,,0.027443,0.019122,0.026626,Low,High,None,miroc5.1.rcp85
199030,,0,0.0022926,0.00055151,High,Low,None,miroc5.1.rcp85
197790,,0,0.0024711,0.00075819,Low,Low,None,miroc5.1.rcp85
277200,,0.0072364,0.0063412,0.0091835,High,High,None,miroc5.1.rcp60
316510,,0.018331,0.010018,0.016475,Low,High,None,miroc5.1.rcp60
185950,,0,0.0021453,0.00040758,High,Low,None,miroc5.1.rcp60
195550,,0,0.0022994,0.00055873,Low,Low,None,miroc5.1.rcp60
305410,,0.013819,0.0081064,0.01299,High,High,None,miroc5.1.rcp45
314760,,0.02483,0.015168,0.023201,Low,High,None,miroc5.1.rcp45
195180,,0,0.0022546,0.00051199,High,Low,None,miroc5.1.rcp45
195790,,0,0.0024263,0.000703,Low,Low,None,miroc5.1.rcp45
277180,,0.0088289,0.0066939,0.0099872,High,High,None,miroc5.1.rcp26
304290,,0.019979,0.010961,0.017969,Low,High,None,miroc5.1.rcp26
194400,,0,0.0021783,0.00043768,High,Low,None,miroc5.1.rcp26
188950,,0,0.0023392,0.00060214,Low,Low,None,miroc5.1.rcp26
312730,,0.015905,0.0088273,0.01444,High,High,WWTP,gfdl.cm3.1.rcp85
252880,,0.028364,0.020641,0.027813,Low,High,WWTP,gfdl.cm3.1.rcp85
151270,,0,0.0022901,0.00054908,High,Low,WWTP,gfdl.cm3.1.rcp85
210810,,0,0.0024492,0.00073151,Low,Low,WWTP,gfdl.cm3.1.rcp85
290990,,0.013773,0.0080398,0.012907,High,High,WWTP,gfdl.cm3.1.rcp60
259870,,0.025789,0.016169,0.024289,Low,High,WWTP,gfdl.cm3.1.rcp60
151920,,0,0.0022659,0.0005238,High,Low,WWTP,gfdl.cm3.1.rcp60
157440,,0,0.0024459,0.00072744,Low,Low,WWTP,gfdl.cm3.1.rcp60
302170,,0.025227,0.015438,0.023581,High,High,WWTP,gfdl.cm3.1.rcp45
315470,,0.036791,0.21796,0.043335,Low,High,WWTP,gfdl.cm3.1.rcp45
216170,,0,0.0024813,0.00077158,High,Low,WWTP,gfdl.cm3.1.rcp45
213960,,0,0.002701,0.0010748,Low,Low,WWTP,gfdl.cm3.1.rcp45
234470,,0.021914,0.012193,0.01981,High,High,WWTP,gfdl.cm3.1.rcp26
317400,,0.032325,0.035928,0.034258,Low,High,WWTP,gfdl.cm3.1.rcp26
149560,,0,0.0024217,0.000698,High,Low,WWTP,gfdl.cm3.1.rcp26
212860,,0,0.002597,0.0009252,Low,Low,WWTP,gfdl.cm3.1.rcp26
267620,,0.016784,0.0091986,0.015123,High,High,WWTP,gfdl.esm2m.1.rcp85
280590,,0.027794,0.01945,0.026992,Low,High,WWTP,gfdl.esm2m.1.rcp85
159300,,0,0.0023514,0.0006161,High,Low,WWTP,gfdl.esm2m.1.rcp85
174070,,0,0.0025468,0.00085689,Low,Low,WWTP,gfdl.esm2m.1.rcp85
229490,,0.015415,0.0086329,0.014072,High,High,WWTP,gfdl.esm2m.1.rcp26
223380,,0.027033,0.018059,0.025932,Low,High,WWTP,gfdl.esm2m.1.rcp26
154700,,0,0.0023285,0.00059054,High,Low,WWTP,gfdl.esm2m.1.rcp26
170020,,0,0.0025194,0.00082068,Low,Low,WWTP,gfdl.esm2m.1.rcp26
246290,,0.014858,0.008422,0.013665,High,High,WWTP,gfdl.esm2m.1.rcp45
266600,,0.026176,0.016714,0.02479,Low,High,WWTP,gfdl.esm2m.1.rcp45
197410,,0,0.002289,0.00054792,High,Low,WWTP,gfdl.esm2m.1.rcp45
199760,,0,0.0024747,0.00076324,Low,Low,WWTP,gfdl.esm2m.1.rcp45
278620,,0.0095653,0.0068362,0.010344,High,High,WWTP,gfdl.esm2m.1.rcp60
278690,,0.021076,0.011577,0.018955,Low,High,WWTP,gfdl.esm2m.1.rcp60
197490,,0,0.0022017,0.00045989,High,Low,WWTP,gfdl.esm2m.1.rcp60
143790,,0,0.0023988,0.00067065,Low,Low,WWTP,gfdl.esm2m.1.rcp60
288360,,0.013767,0.0080378,0.012903,High,High,WWTP,csiro.mk3.6.0.1.rcp85
287260,,0.025268,0.015489,0.023632,Low,High,WWTP,csiro.mk3.6.0.1.rcp85
192790,,0,0.002265,0.0005229,High,Low,WWTP,csiro.mk3.6.0.1.rcp85
203140,,0,0.0024453,0.00072662,Low,Low,WWTP,csiro.mk3.6.0.1.rcp85
202790,,0.011778,0.0074205,0.011621,High,High,WWTP,csiro.mk3.6.0.1.rcp26
246200,,0.023026,0.013118,0.021002,Low,High,WWTP,csiro.mk3.6.0.1.rcp26
144230,,0,0.0022398,0.00049727,High,Low,WWTP,csiro.mk3.6.0.1.rcp26
153590,,0,0.002419,0.00069474,Low,Low,WWTP,csiro.mk3.6.0.1.rcp26
292170,,0.014709,0.0083674,0.013559,High,High,WWTP,csiro.mk3.6.0.1.rcp45
297290,,0.026227,0.016788,0.024856,Low,High,WWTP,csiro.mk3.6.0.1.rcp45
154730,,0,0.0022969,0.00055635,High,Low,WWTP,csiro.mk3.6.0.1.rcp45
