Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
247750,,0.0099921,0.0069845,0.010662,High,High,RO,gfdl.esm2m.1.rcp60
266470,,0.021451,0.011872,0.019394,Low,High,RO,gfdl.esm2m.1.rcp60
156340,,0,0.0022283,0.00047953,High,Low,RO,gfdl.esm2m.1.rcp60
153460,,0,0.0024001,0.00066432,Low,Low,RO,gfdl.esm2m.1.rcp60
270990,,0.013665,0.0080463,0.012916,High,High,RO,csiro.mk3.6.0.1.rcp85
262130,,0.025748,0.016095,0.024271,Low,High,RO,csiro.mk3.6.0.1.rcp85
174710,,0,0.0022823,0.0005341,High,Low,RO,csiro.mk3.6.0.1.rcp85
162770,,0,0.0024712,0.00075034,Low,Low,RO,csiro.mk3.6.0.1.rcp85
303120,,0.011408,0.0073587,0.01148,High,High,RO,csiro.mk3.6.0.1.rcp26
302880,,0.022708,0.012859,0.020709,Low,High,RO,csiro.mk3.6.0.1.rcp26
162360,,0,0.0022452,0.00049627,High,Low,RO,csiro.mk3.6.0.1.rcp26
160490,,0,0.0024164,0.00068352,Low,Low,RO,csiro.mk3.6.0.1.rcp26
272140,,0.014639,0.0083843,0.01359,High,High,RO,csiro.mk3.6.0.1.rcp45
276800,,0.026659,0.017408,0.025453,Low,High,RO,csiro.mk3.6.0.1.rcp45
158900,,0,0.0023075,0.00056065,High,Low,RO,csiro.mk3.6.0.1.rcp45
167550,,0,0.0024913,0.00077551,Low,Low,RO,csiro.mk3.6.0.1.rcp45
267150,,0.0080018,0.0065184,0.0096101,High,High,RO,csiro.mk3.6.0.1.rcp60
272710,,0.019347,0.01052,0.017376,Low,High,RO,csiro.mk3.6.0.1.rcp60
161720,,0,0.0022062,0.00045811,High,Low,RO,csiro.mk3.6.0.1.rcp60
171780,,0,0.0023687,0.00062815,Low,Low,RO,csiro.mk3.6.0.1.rcp60
246800,,0.017111,0.0093846,0.015462,High,High,RO,hadgem2.es.1.rcp85
298760,,0.02828,0.020364,0.027702,Low,High,RO,hadgem2.es.1.rcp85
157820,,0,0.0023222,0.00057648,High,Low,RO,hadgem2.es.1.rcp85
169940,,0,0.0025072,0.00079591,Low,Low,RO,hadgem2.es.1.rcp85
234880,,0.017201,0.0094257,0.015535,High,High,RO,hadgem2.es.1.rcp60
245660,,0.028464,0.020764,0.027969,Low,High,RO,hadgem2.es.1.rcp60
166700,,0,0.0023391,0.00059495,High,Low,RO,hadgem2.es.1.rcp60
174540,,0,0.0025289,0.00082399,Low,Low,RO,hadgem2.es.1.rcp60
265340,,0.014922,0.0084879,0.013792,High,High,RO,hadgem2.es.1.rcp45
277990,,0.026278,0.016833,0.024952,Low,High,RO,hadgem2.es.1.rcp45
173190,,0,0.0023075,0.00056064,High,Low,RO,hadgem2.es.1.rcp45
182240,,0,0.0024865,0.00076946,Low,Low,RO,hadgem2.es.1.rcp45
272120,,0.014446,0.0083149,0.013453,High,High,RO,hadgem2.es.1.rcp26
263340,,0.025663,0.015983,0.024164,Low,High,RO,hadgem2.es.1.rcp26
163460,,0,0.0022895,0.00054154,High,Low,RO,hadgem2.es.1.rcp26
172130,,0,0.0024714,0.00075059,Low,Low,RO,hadgem2.es.1.rcp26
236170,,0.023798,0.013858,0.021922,High,High,RO,miroc.esm.chem.1.rcp85
245390,,0.035081,0.070807,0.03951,Low,High,RO,miroc.esm.chem.1.rcp85
156760,,0,0.0024626,0.0007396,High,Low,RO,miroc.esm.chem.1.rcp85
155010,,0,0.0026702,0.001019,Low,Low,RO,miroc.esm.chem.1.rcp85
263370,,0.01996,0.010881,0.017942,High,High,RO,miroc.esm.chem.1.rcp60
290180,,0.031761,0.032047,0.033221,Low,High,RO,miroc.esm.chem.1.rcp60
159280,,0,0.0024152,0.00068217,High,Low,RO,miroc.esm.chem.1.rcp60
182260,,0,0.0026145,0.00093969,Low,Low,RO,miroc.esm.chem.1.rcp60
276140,,0.016392,0.0090697,0.014892,High,High,RO,miroc.esm.chem.1.rcp45
274850,,0.027589,0.018989,0.026719,Low,High,RO,miroc.esm.chem.1.rcp45
186600,,0,0.0023248,0.00057927,High,Low,RO,miroc.esm.chem.1.rcp45
183500,,0,0.0025099,0.0007994,Low,Low,RO,miroc.esm.chem.1.rcp45
271270,,0.013156,0.0078803,0.012578,High,High,RO,miroc.esm.chem.1.rcp26
245110,,0.0246,0.014698,0.022859,Low,High,RO,miroc.esm.chem.1.rcp26
178480,,0,0.0022624,0.00051362,High,Low,RO,miroc.esm.chem.1.rcp26
172020,,0,0.0024368,0.00070802,Low,Low,RO,miroc.esm.chem.1.rcp26
231360,,0.016297,0.0090299,0.014819,High,High,RO,miroc5.1.rcp85
247000,,0.027356,0.018567,0.026397,Low,High,RO,miroc5.1.rcp85
158430,,0,0.0023166,0.00057037,High,Low,RO,miroc5.1.rcp85
161460,,0,0.0025002,0.00078693,Low,Low,RO,miroc5.1.rcp85
272990,,0.0069598,0.0062984,0.0091013,High,High,RO,miroc5.1.rcp60
249020,,0.018356,0.0099846,0.0165,Low,High,RO,miroc5.1.rcp60
172460,,0,0.002165,0.00041969,High,Low,RO,miroc5.1.rcp60
170550,,0,0.0023279,0.00058272,Low,Low,RO,miroc5.1.rcp60
251870,,0.013579,0.0080176,0.012858,High,High,RO,miroc5.1.rcp45
284380,,0.025008,0.015166,0.023352,Low,High,RO,miroc5.1.rcp45
157410,,0,0.0022808,0.00053246,High,Low,RO,miroc5.1.rcp45
171450,,0,0.0024589,0.00073504,Low,Low,RO,miroc5.1.rcp45
280640,,0.0085026,0.0066297,0.0098647,High,High,RO,miroc5.1.rcp26
285850,,0.020267,0.011071,0.018231,Low,High,RO,miroc5.1.rcp26
172840,,0,0.0022032,0.00045522,High,Low,RO,miroc5.1.rcp26
178840,,0,0.0023636,0.00062235,Low,Low,RO,miroc5.1.rcp26
